OutletId,Outlet,ProductId,Name,UnitOfMeasureId,UOM,Barcode,OpeningQuantity,DeliveryQuantity,SoldQuantity
1,LYD NISA,17690,Flashing Pop Tubes,1,Each,5025509170929,0,0,1
1,LYD NISA,10483,FLASHING PUFFER TEDDY BEAR,1,Each,5025509173890,0,0,9
1,LYD NISA,13086,FLASHING SILHOUETTE HEADBANDS,1,Each,5025509172251,0,0,1
1,LYD NISA,21186,FLASHING UNICORN SPIKY BRACELET,1,Each,5025509173845,0,0,5
1,LYD NISA,3071,FLUFFIPUTTI NEON GOOBANDS,1,Each,5037832314147,75,0,1
1,LYD NISA,1255,FLUFFY COTTON CANDY RBOW,1,Each,8420886209106,4,0,4
1,LYD NISA,22274,Flying Birds Asst,1,Each,5014631014324,37,0,4
1,LYD NISA,12173,FROG WATER GAME,1,Each,5025509174125,0,0,15
1,LYD NISA,3067,Fruit Snap Bracelet ( SCENTED ),1,Each,5025509172459,15,0,2
1,LYD NISA,24513,FUDGE SECTION CAKE,1,Each,5033145003723,0,0,7
1,LYD NISA,4379,FUMFINGS PIMPLE FACE,1,Each,5037832314765,31,0,0
1,LYD NISA,1623,Funny Face Light Pop,1,Each,5031396072079,0,0,0
1,LYD NISA,7309,Fuses 13 Amp (3),1,Each,5019854501521,15,0,1
1,LYD NISA,5650,GALLO MERLOT,1,Each,85000009840,2,0,0
1,LYD NISA,18880,GALLO WHT ZINFANDEL,1,Each,85000007839,5,0,5
1,LYD NISA,9333,GB - All Butt Choc C Fudge,1,Each,5055540737263,0,0,1
1,LYD NISA,22687,GEORGE BUBBLE GUN POT,1,Each,617285316599,37,0,8
1,LYD NISA,25106,GEORGE BUBBLE WAND,1,Each,617285316636,7,0,1
1,LYD NISA,19050,GEORGE BUBBLEWAND POT REFILL,1,Each,617285317602,3,0,0
1,LYD NISA,23508,GEORGE CUSHION,1,Each,617285316865,3,0,1
1,LYD NISA,4428,GEORGE LANYARD,1,Each,617285317220,26,0,8
1,LYD NISA,26163,GEORGE LARGE PLUSH,1,Each,617285316438,7,0,1
1,LYD NISA,13653,GEORGE MEDIUM PLUSH,1,Each,617285316391,38,0,10
1,LYD NISA,17992,George Medium Plush NEW,1,Each,617285318685,0,0,4
1,LYD NISA,9624,George Monster Outfit,1,Each,617285317688,1,0,1
1,LYD NISA,4906,GEORGE SLEEPING BAG OUTFIT,1,Each,617285317763,3,0,2
1,LYD NISA,6599,GEORGE SMALL PLUSH,1,Each,617285316353,9,0,9
1,LYD NISA,24511,GEORGE SNAPBAND,1,Each,617285317268,13,0,0
1,LYD NISA,7344,GEORGE SUNGLASSES,1,Each,617285316988,0,0,1
1,LYD NISA,16254,GEORGE SUPERSQUAD OUTFIT,1,Each,617285318005,3,0,1
1,LYD NISA,9988,GEORGE X-LARGE PLUSH,1,Each,617285316476,1,0,0
1,LYD NISA,1046,GEORGE£BUBBLE GUN,1,Each,617285316551,2,0,1
1,LYD NISA,4710,Giant Glitter Creebler,1,Each,5025509172435,14,0,1
1,LYD NISA,19225,GIANT MARVEL GLOVE,1,Each,5038104075445,0,0,2
1,LYD NISA,14091,Giant Stetchy Gorilla,1,Each,5025509172572,0,0,2
1,LYD NISA,20162,Gifting Code C,1,Each,5026309551208,0,0,2
1,LYD NISA,4286,Gifting Code E,1,Each,5026309551215,0,0,2
1,LYD NISA,1941,Gifting Code Q,1,Each,5026309300103,0,0,2
1,LYD NISA,22294,Gifting Code X,1,Each,5026309551154,0,0,2
1,LYD NISA,7397,Giselle Leopard Sqhy Beanie Clip,1,Each,8421395644,4,0,0
1,LYD NISA,3851,Glasses Repair Kit,1,Each,5012904042760,6,0,2
1,LYD NISA,19247,GLOW PARTY STICKS,1,Each,5025509172329,0,0,6
1,LYD NISA,4679,Glow Stars * 36,1,Each,5014631015109,20,0,0
1,LYD NISA,18409,GOGOPO CORRECTOR MOUSE 2PK,1,Each,5037832306579,9,0,0
1,LYD NISA,673,GOGOPO CRUSHOS GRAPES,1,Each,5037832315755,4,0,0
1,LYD NISA,25461,GOGOPO EMOJI SCREEN CLEANER,1,Each,5037832306678,3,0,0
1,LYD NISA,5443,GOGOPO FLUFFIIES NEON,1,Each,5037832314116,32,0,2
1,LYD NISA,3974,GOGOPO FLUFFIIES RAINBOW,1,Each,5037832314123,0,0,2
1,LYD NISA,17756,GOGOPO GLUE STICKS 2PK,1,Each,5037832308245,16,0,1
1,LYD NISA,23064,GOGOPO MACAROON ERASERS,1,Each,5037832308016,3,0,0
1,LYD NISA,23226,GOGOPO MAGNETIC PEN,1,Each,5037832306357,10,0,0
1,LYD NISA,8397,GOGOPO TIN PENCIL CASE,1,Each,5037832306647,9,0,0
1,LYD NISA,27260,GOGOPO WASHI TAPE TRIPLE PACK,1,Each,5037832309303,6,0,0
1,LYD NISA,27497,GOOBANDS GOOWORLD LIVINGPUTTI,1,Each,5037832315007,39,0,8
1,LYD NISA,11200,GOOBANDS GOOWORLD POINGPUTTI,1,Each,5037832315038,0,0,1
1,LYD NISA,18004,GOOBANDS GOOWORLD PUTTIBUBZ,1,Each,5037832315014,0,0,2
1,LYD NISA,19541,GOOBANDS GOOWORLD PUTTIWEBZ,1,Each,5037832315021,8,0,2
1,LYD NISA,4072,GOOBANDS GOOWORLD STRETCHIPUTTI,1,Each,"5037832315465,5037832315434",0,0,1
1,LYD NISA,6106,GORDONS DST PREMIUM PINK GIN,1,Each,5000289929417,3,0,3
1,LYD NISA,12188,GRANDADLWKEYRING,1,Each,5019278980643,2,0,0
1,LYD NISA,3296,Grape & Cherry NIPPERS,1,Each,5011061127266,6,0,14
1,LYD NISA,27426,GRID OF FORTUNE,1,Each,5031390118148,0,0,81
1,LYD NISA,19395,GRIFFIN/SQUISH MED * 2,1,Each,008421395200,0,0,1
1,LYD NISA,29180,Guess Who Grab and Go * 6,1,Each,5010996164490,1,0,0
1,LYD NISA,25014,HAIR GRIPS,1,Each,5018632218934,3,0,0
1,LYD NISA,17663,HAPPY BIRTHDAY LW KEYRING,1,Each,5019278980780,9,0,0
1,LYD NISA,7780,HARIBO TANGFASTICS 10%EF PM,1,Each,5012035998370,5,0,5
1,LYD NISA,13615,HARVEYS BRISTOL CREAM 17.5%,1,Each,"8410024900002,5010277010164,5010696001347",6,0,0
1,LYD NISA,12056,Heather Cat Squishy Beanie Clip,1,Each,8421395613,1,0,0
1,LYD NISA,16766,HEMMING WEB 4M,1,Each,5019854502641,10,0,1
1,LYD NISA,26273,HIGH BOUNCE CUTIES,1,Each,5025509174231,0,0,5
1,LYD NISA,6140,Hot Wheels Miniatures,1,Each,"194735177196,74299057854,194735177202,074299057854,007429905785",46,0,33
1,LYD NISA,7775,Hot Wheels Miniatures Clip Strip,1,Each,"027084657357,0027084120134",0,0,2
1,LYD NISA,8462,Huge Light Up Caterpillar,1,Each,"5025509119409,5025509119409,5025509119409",0,0,1
1,LYD NISA,16714,I HEART MYCAR LW KEYRING,1,Each,5019278980773,1,0,0
1,LYD NISA,612,I LIKE HUGSTIN MAGNET,1,Each,5019278987130,3,0,0
1,LYD NISA,9410,ICE LOLLY WATER SQUIRTER,1,Each,5025509174477,0,0,3
1,LYD NISA,26835,Iced Flavoured Milk with flavour,1,Each,5054603016802,0,0,1
1,LYD NISA,8513,ILLOOMS PUMPKIN BALLOON PS,1,Each,"843699105287,810147018956",5,0,0
1,LYD NISA,2605,IND DOUBLE CHOC CHIP COOKIE,1,Each,5033145009688,27,0,26
