ProductId,Outlet,CorrectOpeningQuantity,CorrectSoldQuantity,CorrectDeliveryQuantity,IncorrectProductIds
28890,LYD NISA,4.0,4.0,0.0,8529
28944,LYD NISA,8.0,8.0,0.0,7924
31113,LYD NISA,0.0,115.0,0.0,29982
31109,LYD NISA,0.0,118.0,0.0,29982
31110,LYD NISA,0.0,118.0,0.0,29982
31111,LYD NISA,0.0,137.0,0.0,29982
31112,LYD NISA,0.0,126.0,0.0,29982
31115,LYD NISA,0.0,58.0,0.0,29983
28911,LYD NISA,19.0,16.0,0.0,19308
28327,LYD NISA,6.0,27.0,0.0,14169
29054,LYD NISA,25.0,10.0,0.0,4575
28312,LYD NISA,6.0,2.0,0.0,17565
28940,LYD NISA,25.0,26.0,0.0,11572
31235,LYD NISA,0.0,5.0,0.0,30031
28776,LYD NISA,11.0,1.0,0.0,14434
28903,LYD NISA,3.0,25.0,0.0,15484
28832,LYD NISA,30.0,13.0,0.0,27450
28813,LYD NISA,19.0,5.0,0.0,17524
28293,LYD NISA,33.0,14.0,0.0,9538
28838,LYD NISA,28.0,5.0,0.0,21575
28915,LYD NISA,27.0,54.0,0.0,25346
28852,LYD NISA,2.0,2.0,0.0,24188
28889,LYD NISA,6.0,6.0,0.0,4751
28897,LYD NISA,13.0,8.0,0.0,17309
28951,LYD NISA,17.0,10.0,0.0,24767
28314,LYD NISA,24.0,13.0,0.0,18343
28812,LYD NISA,3.0,11.0,0.0,6250
28319,LYD NISA,11.0,9.0,0.0,6650
28321,LYD NISA,20.0,3.0,0.0,27966
29093,LYD NISA,21.0,7.0,0.0,22480
28883,LYD NISA,31.0,9.0,0.0,3493
29094,LYD NISA,11.0,7.0,0.0,19484
28916,LYD NISA,10.0,3.0,0.0,4059
29049,LYD NISA,34.0,24.0,0.0,400
29096,LYD NISA,33.0,9.0,0.0,12087
28955,LYD NISA,6.0,8.0,0.0,21996
28370,LYD NISA,7.0,8.0,0.0,26187
28831,LYD NISA,25.0,16.0,0.0,18631
31412,LYD NISA,0.0,4.0,0.0,30122
31452,LYD NISA,0.0,5.0,0.0,30138
28364,LYD NISA,18.0,3.0,0.0,20244
31463,LYD NISA,0.0,10.0,0.0,31457
28921,LYD NISA,27.0,17.0,0.0,4883
28755,LYD NISA,4.0,4.0,0.0,10438
28762,LYD NISA,1.0,1.0,0.0,23957
28388,LYD NISA,17.0,3.0,0.0,25900
28385,LYD NISA,10.0,8.0,0.0,20934
29101,LYD NISA,11.0,1.0,0.0,11067
28430,LYD NISA,1.0,5.0,0.0,21784
29632,LYD NISA,15.0,30.0,6.0,25505
29606,LYD NISA,97.0,79.0,0.0,7728
29612,LYD NISA,15.0,26.0,0.0,24591
29614,LYD NISA,28.0,36.0,0.0,25283
29611,LYD NISA,37.0,136.0,0.0,5704
28494,LYD NISA,6.0,1.0,0.0,23658
30668,PH NISA,0.0,196.0,0.0,14831
28433,PH NISA,50.0,178.0,0.0,15720
28521,PH NISA,10.0,4.0,0.0,25291
28867,PH NISA,173.0,155.0,0.0,16006
28782,PH NISA,52.0,120.0,0.0,852
28869,PH NISA,57.0,111.0,0.0,3223
28497,PH NISA,72.0,194.0,0.0,26307
28893,PH NISA,81.0,119.0,0.0,9220
28428,PH NISA,26.0,12.0,0.0,22548
28426,PH NISA,86.0,92.0,0.0,15829
28453,PH NISA,13.0,18.0,0.0,15678
28434,PH NISA,51.0,46.0,0.0,474
29147,PH NISA,57.0,59.0,0.0,14389
29142,PH NISA,88.0,33.0,0.0,7748
29148,PH NISA,1.0,24.0,0.0,17274
28459,PH NISA,4.0,22.0,0.0,9120
28457,PH NISA,61.0,51.0,0.0,7712
29143,PH NISA,66.0,143.0,0.0,23909
28785,PH NISA,13.0,8.0,0.0,11626
29150,PH NISA,48.0,53.0,0.0,18714
28449,PH NISA,41.0,57.0,0.0,20751
29151,PH NISA,76.0,48.0,0.0,12229
29144,PH NISA,94.0,174.0,0.0,18786
29153,PH NISA,55.0,61.0,0.0,1343
28908,PH NISA,47.0,43.0,0.0,8967
28519,PH NISA,49.0,62.0,0.0,14702
28806,PH NISA,4.0,7.0,0.0,3315
28797,PH NISA,11.0,33.0,0.0,17770
28863,PH NISA,79.0,123.0,0.0,1583
29154,PH NISA,10.0,6.0,0.0,2311
28810,PH NISA,52.0,64.0,0.0,24843
29643,PH NISA,10.0,108.0,100.0,24798
27681,PH NISA,0.0,55.0,5.0,16000
28508,PH NISA,16.0,20.0,0.0,23443
28477,PH NISA,25.0,21.0,0.0,9333
28928,PH NISA,8.0,6.0,0.0,21944
28510,PH NISA,5.0,5.0,0.0,8145
28509,PH NISA,7.0,18.0,0.0,1436
28481,PH NISA,23.0,12.0,0.0,2058
28526,PH NISA,2.0,2.0,0.0,7315
28525,PH NISA,7.0,6.0,0.0,12603
28934,PH NISA,126.0,89.0,0.0,140
31642,PH NISA,4.0,88.0,72.0,7365
29637,PH NISA,1.0,318.0,320.0,17318
29630,PH NISA,9.0,73.0,72.0,20298
29642,PH NISA,0.0,34.0,30.0,19435
29608,PH NISA,1.0,1.0,0.0,21429
28612,PH NISA,14.0,5.0,0.0,7963
28615,PH NISA,4.0,3.0,0.0,9374
29262,PH NISA,183.0,239.0,0.0,24631
30347,PH NISA,16.0,3.0,0.0,27293
29638,PH NISA,13.0,266.0,192.0,2365
28821,PH NISA,13.0,11.0,0.0,23822
28448,PH NISA,18.0,17.0,0.0,26690
28455,PH NISA,19.0,18.0,0.0,24974
29157,PH NISA,36.0,36.0,0.0,6075
28451,PH NISA,20.0,17.0,0.0,22042
29158,PH NISA,18.0,20.0,0.0,239
28808,PH NISA,1.0,1.0,0.0,2889
29156,PH NISA,18.0,16.0,0.0,22024
31653,PH NISA,1.0,167.0,162.0,16557
29610,PH NISA,200.0,457.0,0.0,8597
30442,PH NISA,0.0,37.0,0.0,22928
30530,PH NISA,27.0,104.0,0.0,22578
30471,PH NISA,0.0,797.0,0.0,18149
28788,PH NISA,11.0,44.0,0.0,9609
28347,PH NISA,23.0,40.0,0.0,1342
28349,PH NISA,90.0,83.0,0.0,14532
28287,PH NISA,27.0,25.0,0.0,20791
28912,PH NISA,113.0,88.0,0.0,445
28369,PH NISA,39.0,61.0,0.0,27109
28958,PH NISA,18.0,29.0,0.0,6756
28749,PH NISA,23.0,17.0,0.0,25579
28935,PH NISA,21.0,27.0,0.0,15603
